heartbeat_id,window_id,sensor_pair,sensor_names,ptt_ms,sensor3_time_s,sensor4_time_s,window_start_s,window_end_s,reference_sensor,reference_mean_ibi_ms,sensor5_time_s
756,38,sensor3-sensor4,finger→wrist,35.99814810780799,203.6325243088408,203.6685224569486,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
757,38,sensor3-sensor4,finger→wrist,17.999074053903996,204.47848078937426,204.49647986342816,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
758,38,sensor3-sensor4,finger→wrist,35.99814810780799,205.26144051071907,205.29743865882688,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
759,38,sensor3-sensor4,finger→wrist,26.998611080841783,206.08039838017172,206.10739699125256,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
760,38,sensor3-sensor4,finger→wrist,26.998611080841783,206.93535439773214,206.96235300881298,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
761,38,sensor3-sensor4,finger→wrist,26.998611080870205,207.75431226718476,207.78131087826563,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
762,38,sensor3-sensor4,finger→wrist,35.99814810780799,208.54627152555653,208.58226967366434,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
763,38,sensor3-sensor4,finger→wrist,26.998611080841783,209.3562298579822,209.38322846906306,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
764,39,sensor3-sensor4,finger→wrist,44.99768513474578,195.172959503506,195.21795718864075,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
765,39,sensor3-sensor4,finger→wrist,44.9976851347742,195.97391829890472,196.0189159840395,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
766,39,sensor3-sensor4,finger→wrist,17.999074053903996,196.7838766313304,196.8018757053843,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
767,39,sensor3-sensor4,finger→wrist,44.99768513474578,197.65683172294473,197.70182940807948,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
768,39,sensor3-sensor4,finger→wrist,26.998611080870205,198.52978681455906,198.55678542563993,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
769,39,sensor3-sensor4,finger→wrist,44.99768513474578,199.33974514698474,199.38474283211949,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
770,39,sensor3-sensor4,finger→wrist,26.998611080870205,200.19470116454517,200.22169977562604,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
771,39,sensor3-sensor4,finger→wrist,35.99814810780799,201.1036544042673,201.1396525523751,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
772,39,sensor3-sensor4,finger→wrist,35.99814810780799,201.9676099588547,202.0036081069625,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
773,39,sensor3-sensor4,finger→wrist,17.999074053903996,202.79556736533428,202.81356643938818,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
774,39,sensor3-sensor4,finger→wrist,35.99814810780799,203.6325243088408,203.6685224569486,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
775,39,sensor3-sensor4,finger→wrist,17.999074053903996,204.4784807893743,204.4964798634282,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
776,39,sensor3-sensor4,finger→wrist,35.99814810780799,205.2614405107191,205.2974386588269,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
777,39,sensor3-sensor4,finger→wrist,26.998611080841783,206.08039838017172,206.10739699125256,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
778,39,sensor3-sensor4,finger→wrist,26.998611080870205,206.93535439773214,206.962353008813,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
779,39,sensor3-sensor4,finger→wrist,26.998611080870205,207.75431226718476,207.78131087826563,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
780,39,sensor3-sensor4,finger→wrist,35.99814810780799,208.54627152555653,208.58226967366434,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
781,39,sensor3-sensor4,finger→wrist,17.999074053903996,209.3562298579822,209.37422893203612,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
782,39,sensor3-sensor4,finger→wrist,44.99768513474578,210.19318680148874,210.23818448662348,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
783,39,sensor3-sensor4,finger→wrist,53.99722216171199,210.9671469858066,211.02114420796832,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
784,39,sensor3-sensor4,finger→wrist,53.99722216171199,211.7321076330975,211.78610485525923,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
785,39,sensor3-sensor4,finger→wrist,35.99814810780799,212.5420659655232,212.578064113631,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
786,39,sensor3-sensor4,finger→wrist,62.996759188649776,213.3070266128141,213.37002337200275,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
787,39,sensor3-sensor4,finger→wrist,26.998611080870205,214.071987260105,214.09898587118587,194.79497894837402,214.79195022226116,sensor3,821.6968589825657,
788,40,sensor3-sensor4,finger→wrist,26.998611080870205,200.19470116454514,200.221699775626,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
789,40,sensor3-sensor4,finger→wrist,35.99814810780799,201.1036544042673,201.1396525523751,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
790,40,sensor3-sensor4,finger→wrist,35.99814810780799,201.96760995885467,202.00360810696247,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
791,40,sensor3-sensor4,finger→wrist,17.999074053903996,202.79556736533425,202.81356643938815,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
792,40,sensor3-sensor4,finger→wrist,35.99814810780799,203.63252430884077,203.66852245694858,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
793,40,sensor3-sensor4,finger→wrist,17.999074053903996,204.47848078937426,204.49647986342816,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
794,40,sensor3-sensor4,finger→wrist,35.99814810780799,205.26144051071907,205.29743865882688,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
795,40,sensor3-sensor4,finger→wrist,26.998611080870205,206.0803983801717,206.10739699125256,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
796,40,sensor3-sensor4,finger→wrist,26.998611080870205,206.9353543977321,206.96235300881298,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
797,40,sensor3-sensor4,finger→wrist,26.998611080841783,207.75431226718476,207.7813108782656,199.7897219983323,219.78669327221945,sensor3,803.2086796554577,
